week101
你好;hallo
我;ik
是;zijn
老师;leerkracht
汉语;chinees (taal)
汉语老师;leerkracht Chinees
中国;China
叫;heten
你;jij
什么;wat?
他;hij
她;zij (vrouwelijk enkelvoud)
不;niet, geen
学生;student
对;juist, correct
不对;niet juist
要;willen, hebben, moeten
休息;pauze, pauzeren
知道;weten
我不知道;ik weet het niet
难;moeilijk
学习汉语不难;Chinees leren is niet moeilijk
好玩;leuk, amusant
学习汉语很好玩;Chinees leren is leuk
再见;tot ziens

week102
你们好;hallo (tegen meerdere mensen)
我们;wij
你们;jullie
他们;zij (mannelijk meervoud)
她们;zij (vrouwelijk meervoud)
好;goed
很;heel
不;niet, geen
呢;en ...?
也;ook
都;allen, allemaal, beiden
爸爸;papa
妈妈;mama
比利时;België
知道;weten
说;(iets) zeggen, (een taal) spreken
请你再说一遍;gelieve het nog een keer te zeggen
在;aanwezig zijn, te ...
谢谢;bedankt, dankuwel
再见;tot ziens

week103
我不知道;ik weet het niet
请你再说一遍;gelieve het nog een keer te zeggen
你说什么?;wat zeg je?
谢谢;bedankt, dankuwel
给你;alsjeblieft (ik geef het jou)
在;aanwezig zijn, te ...
再见;tot ziens
忙;druk
高;hoog, groot
朋友;vriend
男朋友;vriend, je lief (een man waarmee je een relatie hebt)
女朋友;vriendin, je lief (een vrouw waarmee je een relatie hebt)
休息;pauze, pauzeren
要;willen, hebben, moeten
你们要休息吗?;Willen jullie pauze?
汉字;Chinese karakters

week104
喝;drinken
水;water
咖啡;koffie
茶;thee
可乐;cola
可口可乐;Coca Cola
百事可乐;Pepsi Cola
啤酒;bier
冰茶;ice-tea, ijsthee
好喝;lekker (om te drinken)
台湾;Taiwan
中国;China
比利时;België
先生;mijnheer, echtgenoot
太太;mevrouw, echtgenote

week105
中国;China
中国人;een Chinees
北京;Beijing, Peking
北京人;iemand van Peking
美国;Verenigde Staten
美国人;een Amerikaan
比利时;België
比利时人;een Belg
纽约;New York
纽约人;iemand van New York
荷兰;Nederland
荷兰人;een Nederlander
法国;Frankrijk
法国人;Fransman
德国;Duitsland
德国人;Duitser
英国;Engeland
英国人;Engelsman
西班牙;Spanje
西班牙人;Spanjaard
意大利;Italië
意大利人;Italiaan
澳大利亚;Australië
澳大利亚人;Australiër
加拿大;Canada
加拿大人;Canadees
卢森堡;Luxemburg
卢森堡人;Luxemburger
奥地利;Oostenrijk
奥地利人;Oostenrijker
日本;Japan
日本人;Japanner
有;hebben
没有;niet hebben
哥哥;oudere broer
弟弟;jongere broer
姐姐;oudere zus
妹妹;jongere zus
累;moe
女人;vrouw
男人;man

week106
喜欢;houden van, graag hebben, leuk vinden
白酒;Chinese sterke drank ‘witte alcohol’
多;veel
荷兰语;Nederlands (de taal)
法语;Frans (de taal)
德语;Duits (de taal)
英语;Engels (de taal)
西班牙语;Spaans (de taal)
意大利语;Italiaans (de taal)
日语;Japans (de taal)

week107
同学;klasgenoot
学习;studeren, leren
外国;buitenland
外国人;buitenlander
外语;vreemde taal
汉语;chinees (taal)
中文;chinees (taal)
普通话;Mandarijn Chinees
听;luisteren
说;(iets) zeggen, (een taal) spreken
写;schrijven
看;zien, kijken, bekijken

week108
这;deze, dit
那;die, dat
的;‘s (partikel om bezit aan te duiden)
工作;werken, werk
在;aanwezig zijn, te ...
家;thuis
家人;familie, gezin
好看;mooi
好玩(儿);leuk, amusant
玩(儿);spelen, plezier maken, zich amuseren
好听;mooi om te horen
孩子;kind
游泳;zwemmen
唱歌;het zingen van een liedje > zingen
医生;dokter
喜欢;houden van, graag hebben, leuk vinden
爱;houden van, liefde
高兴;blij

week109
老人;oude persoon, oude mensen
玩(儿);spelen, plezier maken, zich amuseren
