btx7elnr7op6d8ymcevxohxpr8we0yg2;<span class="tone4">在</span>;<span class="tone4">zài</span>;aanwezig zijn, te ...;[sound:zai4.mp3];;jaar1 week102 week103 week108 les05 jaar2 les10
82vvt6hvq09x1w3r7vlrmdewkihoib1f;<span class="tone1">光</span><span class="tone2">盘</span>;<span class="tone1">guāng</span><span class="tone2">pán</span>;dvd, cd;[sound:guang1pan2.mp3];;jaar2 week205 les10
llllcnwfp99v8fuz75ne83gkmwuinovw;<span class="tone1">音</span><span class="tone4">乐</span>;<span class="tone1">yīn</span><span class="tone4">yuè</span>;muziek;[sound:yin1yue4.mp3];;jaar1 week115 les07 jaar2 les10
js2dr9ak68xazbsbih0vr61ml3vgz883;<span class="tone1">商</span><span class="tone3">场</span>;<span class="tone1">shāng</span><span class="tone3">chǎng</span>;grote winkel, winkelcentrum;[sound:shang1chang3.mp3];;jaar2 week208 les10
yxfbo00uoz8z7d1kw1catbfr8f73yv1q;<span class="tone1">商</span>, <span class="tone1">商</span><span class="tone4">业</span>;<span class="tone1">shāng</span>, <span class="tone1">shāng</span><span class="tone4">yè</span>;handel;[sound:shang1shang1ye4.mp3];;jaar2 les10 jaar3 week312
jq5ue0dr9dfdosppobwoc7nuvg9qcx9p;<span class="tone2">常</span><span class="tone2">常</span>, <span class="tone2">常</span>;<span class="tone2">cháng</span><span class="tone2">cháng</span>, <span class="tone2">cháng</span>;vaak;[sound:chang2chang2chang2.mp3];;jaar2 week208 les10
i0ru2m6lgg8r2wwhq5gnlt7be86uo2k9;<span class="tone1">跟</span>;<span class="tone1">gēn</span>;met, samen met;[sound:gen1.mp3];;jaar2 week208 les10
3989x4mhp4fj84ctmz6r126fkfekvfqb;<span class="tone3">有</span><span class="tone2">名</span>;<span class="tone3">yǒu</span><span class="tone2">míng</span>;bekend, naam hebben;[sound:you3ming2.mp3];;jaar1 week112 week118 week124 jaar2 week203 week204 les10
4txok15yjierz4onxodotysxhbqepkzn;<span class="tone1">书</span>;<span class="tone1">shū</span>;boek;[sound:shu1.mp3];;jaar1 week111 jaar2 les10
y2ocnctsvazp6hm43iwt0yvbd7ale8v5;<span class="tone4">报</span>,  <span class="tone4">报</span><span class="tone3">纸</span>;<span class="tone4">bào</span>,  <span class="tone4">bào</span><span class="tone3">zhǐ</span>;krant;[sound:bao4bao4zhi3.mp3];;jaar1 week118 jaar2 week208 les10
ao0ooizv6oghxs4w98joj9j8je9p8p4z;<span class="tone3">本</span><span class="tone5">子</span>;<span class="tone3">běn</span><span class="tone5">zi</span>;schrift, notitieboekje;[sound:ben3zi5.mp3];;jaar2 week208 les10
d6nwpuvwl7ob4ujizvs2lwud1xzvvxzx;<span class="tone4">那</span><span class="tone5">里</span>,  <span class="tone4">那</span><span class="tone5">儿</span>;<span class="tone4">nà</span><span class="tone5">li</span>,  <span class="tone4">nà</span><span class="tone5">r</span>;daar;[sound:na4li5na4r5.mp3];;jaar1 week112 jaar2 les10
flcpok1vjredepi3z3jpih8nesk6nbdb;<span class="tone2">梁</span><span class="tone4">祝</span>;<span class="tone2">Liáng</span><span class="tone4">Zhù</span>;muziekstuk 'the butterfly lovers';[sound:liang2zhu4.mp3];;jaar2 week208 les10
80f80v5xdekh2qrsijami5r21qk91x4x;<span class="tone1">先</span><span class="tone5">生</span>;<span class="tone1">xiān</span><span class="tone5">sheng</span>;mijnheer, echtgenoot;[sound:xian1sheng5.mp3];;jaar1 week104 les04 jaar2 les10
mhxb3fsnzkygbycolprtp013umh9i1au;<span class="tone4">要</span>;<span class="tone4">yào</span>;willen, hebben, moeten;[sound:yao4.mp3];;jaar1 week101 week103 week116 les02 jaar2 week212 les10 les12
xttrshd4y1i7mgbjrud2oh89vixey8oc;<span class="tone1">师</span><span class="tone5">傅</span>;<span class="tone1">shī</span><span class="tone5">fu</span>;meester, vakman;[sound:shi1fu5.mp3];voor kok<br><br> chauffeur<br><br> ...<br><br>;jaar2 week210 les10 jaar3 week309
