x770kghcz2xt6k7vdq9uwlfn5j0ylk3m;<span class="tone4">会</span>;<span class="tone4">huì</span>;kunnen (iets onder de knie hebben);[sound:hui4.mp3];;jaar1 week116 jaar2 week211 week212 les11
9gfzxmhzrgj4xgct63g654uaz3v3r4tp;<span class="tone1">一</span><span class="tone3">点</span>,  <span class="tone1">一</span><span class="tone3">点</span><span class="tone3">点</span>,  <span class="tone1">一</span><span class="tone3">点</span><span class="tone5">儿</span>, <span class="tone3">有</span><span class="tone3">点</span><span class="tone5">儿</span>;<span class="tone1">yī</span><span class="tone3">diǎn</span>,  <span class="tone1">yī</span><span class="tone3">diǎn</span><span class="tone3">diǎn</span>,  <span class="tone1">yī</span><span class="tone3">diǎn</span><span class="tone5">r</span>, <span class="tone3">yǒu</span><span class="tone3">diǎn</span><span class="tone5">r</span>;een beetje;[sound:yi1dian3yi1dian3dian3yi1dian3r5you3dian3r5.mp3];;jaar1 week112 jaar2 les11 les12
kikiahs2pmehduej6hqv16t3n6kd12pi;<span class="tone1">司</span><span class="tone1">机</span>;<span class="tone1">sī</span><span class="tone1">jī</span>;chauffeur;[sound:si1ji1.mp3];;jaar2 week211 week213 les11
r2p8tk7qhvphqf1ilesrjrexpzoiqdte;<span class="tone3">点</span><span class="tone1">钟</span>;<span class="tone3">diǎn</span><span class="tone1">zhōng</span>;uur;[sound:dian3zhong1.mp3];;jaar2 les11
lfv4p592zysma56j76um04x3dg9d8sl9;<span class="tone4">差</span>;<span class="tone4">chà</span>;ontbreken;[sound:cha4.mp3];;jaar2 week206 les11
z391jmfbybe7yt467xuj4szomn59p0jv;<span class="tone4">刻</span>;<span class="tone4">kè</span>;kwartier;[sound:ke4.mp3];;jaar2 week206 les11
fedh7h0ndt6f2t9tlgoiges6tvqnnoui;<span class="tone2">回</span>;<span class="tone2">huí</span>;terugkeren;[sound:hui2.mp3];;jaar1 week117 jaar2 les11
eiovn6vhxclzg63ve1fpqrc0amwfge27;<span class="tone4">上</span><span class="tone4">课</span>;<span class="tone4">shàng</span><span class="tone4">kè</span>;(beginnen met) les volgen;[sound:shang4ke4.mp3];;jaar1 week116 week119 week123 jaar2 les11
bgfe2ta2wm5px9xl7dhauidby53u5jh2;<span class="tone4">上</span>;<span class="tone4">shàng</span>;boven, vorige;[sound:shang4.mp3];;jaar2 les09 les11
ypjyyxteo6tg7c0toi70zh1qkvz9d9zv;<span class="tone2">能</span>;<span class="tone2">néng</span>;kunnen (de omstandigheden laten het toe);[sound:neng2.mp3];;jaar2 week211 week212 les11
2dh3rmx3r4kdsjr5f087886anph1uguq;<span class="tone4">到</span>;<span class="tone4">dào</span>;bereiken, aankomen;[sound:dao4.mp3];;jaar2 week212 les11
