cc3vq4xmdcjtsxxjai6x8zixi5i0oxpp;<span class="tone3">女</span><span class="tone2">孩</span><span class="tone5">子</span>, <span class="tone1">姑</span><span class="tone5">娘</span>;<span class="tone3">nǚ</span><span class="tone2">hái</span><span class="tone5">zi</span>, <span class="tone1">gū</span><span class="tone5">niang</span>;meisje;[sound:nü3hai2zi5gu1niang5.mp3];;jaar1 week109 jaar2 week218 les13
8tblfb4pht7r0qiyi1pq91n40xgcddkl;<span class="tone1">听</span><span class="tone1">说</span>;<span class="tone1">tīng</span><span class="tone1">shuō</span>;horen zeggen;[sound:ting1shuo1.mp3];;jaar1 week117 jaar2 week201 les13
xfm6tfxpcv9fdi6dwowxkkjepqbk20c1;<span class="tone1">听</span>;<span class="tone1">tīng</span>;horen, luisteren;[sound:ting1.mp3];;jaar1 week107 jaar2 les13
sbdh78jg74fsnd1ugg2p6nn64255stko;<span class="tone5">的</span>;<span class="tone5">de</span>;krijgen, hebben;[sound:de5.mp3];的感冒<br><br> 的病;jaar2 les13
oyxpshs8e5vgzevlx72nj0f0h2ob5l3j;<span class="tone4">告</span><span class="tone5">诉</span>;<span class="tone4">gào</span><span class="tone5">su</span>;vertellen, meedelen;[sound:gao4su5.mp3];;jaar1 week118 week120 jaar2 week203 les13
i374cg6uo1pg7ybk04iyxrbi72giynbb;<span class="tone4">件</span>;<span class="tone4">jiàn</span>;(maatwoord voor kleren);[sound:jian4.mp3];;jaar2 week210 les13
ihg5vw19lpfupi6ui9mb7mmz6augnno1;<span class="tone4">事</span>;<span class="tone4">shì</span>;ding, iets (niet tastbaar);[sound:shi4.mp3];;jaar2 week206 les13
tkh1w2ade9bhvsbl3ynp4w2e8g9j3pwz;<span class="tone4">散</span><span class="tone4">步</span>;<span class="tone4">sàn</span><span class="tone4">bù</span>;het verspreiden van passen, wandelen (ter ontspanning);[sound:san4bu4.mp3];;jaar2 week211 week220 les13 jaar3 week310
ldairx8iccb6mj6ik5ys2kv2c3f1ii1u;<span class="tone4">步</span>;<span class="tone4">bù</span>;stap, pas;[sound:bu4.mp3];;jaar2 les13
plva73zcwvj24lsttrj0msiqc8fp4aef;<span class="tone4">电</span><span class="tone3">影</span>;<span class="tone4">diàn</span><span class="tone3">yǐng</span>;film;[sound:dian4ying3.mp3];;jaar1 week109 week111 week112 week116 jaar2 les13
4qrs1gfh9jtv9jobu7r6urygal9fge5w;<span class="tone4">电</span>;<span class="tone4">diàn</span>;electriciteit;[sound:dian4.mp3];;jaar2 les13
